"","document","topic","gamma","author","date","title","source","top_words"
"77","Donald Trump_79",1,0.00481375311168495,"Donald Trump",2016-10-05,"Remarks at the Reno-Sparks Convention Center in Reno, Nevada","UCSB","police child justice community officer black violence"
"78","Donald Trump_80",1,0.000349075549378859,"Donald Trump",2016-10-11,"Excerpts of Remarks at Aaron Bessant Park in Panama City, Florida","UCSB","police child justice community officer black violence"
"79","Donald Trump_81",1,0.000587543058346953,"Donald Trump",2016-10-12,"Remarks at the Southeastern Livestock Pavilion in Ocala, Florida","UCSB","police child justice community officer black violence"
"80","Donald Trump_82",1,0.00379879054354736,"Donald Trump",2016-10-13,"Remarks at the Renaissance Hotel in Columbus, Ohio","UCSB","police child justice community officer black violence"
"81","Donald Trump_83",1,0.00449487291931152,"Donald Trump",2016-10-15,"Remarks at the Cross Insurance Center in Bangor, Maine","UCSB","police child justice community officer black violence"
"82","Donald Trump_84",1,0.00891575336743142,"Donald Trump",2016-10-15,"Remarks at Toyota of Portsmouth in Portsmouth, New Hampshire","UCSB","police child justice community officer black violence"
"83","Donald Trump_85",1,0.00017143072147564,"Donald Trump",2016-10-17,"Remarks at the KI Convention Center in Green Bay, Wisconsin","UCSB","police child justice community officer black violence"
"84","Donald Trump_86",1,0.000896008476966155,"Donald Trump",2016-10-18,"Remarks at the Norris-Penrose Event Center in Colorado Springs, Colorado","UCSB","police child justice community officer black violence"
"85","Donald Trump_87",1,0.000188776417588249,"Donald Trump",2016-10-20,"Remarks at the Delaware County Fairgrounds in Delaware, Ohio","UCSB","police child justice community officer black violence"
"86","Donald Trump_88",1,0.00200081594529194,"Donald Trump",2016-10-21,"Remarks at the WNC Agricultural Center's Davis Event Center in Fletcher, North Carolina","UCSB","police child justice community officer black violence"
"87","Donald Trump_89",1,0.000207511702934449,"Donald Trump",2016-10-21,"Remarks at the Newtown Athletic Club Sports Training Center in Newtown, Pennsylvania","UCSB","police child justice community officer black violence"
"88","Donald Trump_90",1,0.0335123560176186,"Donald Trump",2016-10-22,"Remarks on Proposals for the First 100 Days in Office at the Eisenhower Complex in Gettysburg, Pennsylvania","UCSB","police child justice community officer black violence"
"89","Donald Trump_91",1,0.000194529884964921,"Donald Trump",2016-10-23,"Remarks at the Collier County Fairgrounds in Naples, Florida","UCSB","police child justice community officer black violence"
"90","Donald Trump_92",1,0.0608291818924691,"Donald Trump",2016-10-26,"Remarks at McGlohon Theatre at Spirit Square in Charlotte, North Carolina","UCSB","police child justice community officer black violence"
"91","Donald Trump_93",1,0.0635516902703658,"Donald Trump",2016-10-29,"Remarks at the Jeffco Fairgrounds Event Center in Golden, Colorado","UCSB","police child justice community officer black violence"
"92","Donald Trump_94",1,0.00419860348946146,"Donald Trump",2016-10-29,"Remarks at the Phoenix Convention Center in Phoenix, Arizona","UCSB","police child justice community officer black violence"
"93","Donald Trump_95",1,0.0338618533701458,"Donald Trump",2016-10-31,"Remarks at Macomb Community College South Campus in Warren, Michigan","UCSB","police child justice community officer black violence"
"94","Donald Trump_96",1,0.000192369837315975,"Donald Trump",2016-11-01,"Remarks on Obamacare in Valley Forge, Pennsylvania","UCSB","police child justice community officer black violence"
"95","Donald Trump_97",1,0.000135740253871327,"Donald Trump",2016-11-02,"Remarks at the Central Florida Fairgrounds in Orlando, Florida","UCSB","police child justice community officer black violence"
"96","Donald Trump_98",1,9.31847559679686e-05,"Donald Trump",2016-11-02,"Remarks at the Bayfront Park Amphitheater in Miami, Florida","UCSB","police child justice community officer black violence"
"97","Donald Trump_99",1,0.000796127313925385,"Donald Trump",2016-11-07,"Remarks at J.S Dorton Arena in Raleigh, North Carolina","UCSB","police child justice community officer black violence"
"98","Hillary Clinton_1",1,0.00012522760901995,"Hillary Clinton",2016-11-03,"Remarks alongside Alicia Machado in Dade City, FL","Clinton Official","police child justice community officer black violence"
"99","Hillary Clinton_10",1,0.000118729647709541,"Hillary Clinton",2016-07-30,"Remarks on building a 21st century economy in Pittsburgh, Pennsylvania","Clinton Official","police child justice community officer black violence"
