"","document","topic","gamma","author","date","title","source","top_words"
"113","Hillary Clinton_44",1,0.128976892801917,"Hillary Clinton",2016-10-29,"Remarks at the Dickerson Community Center in Daytona Beach, Florida","UCSB","help life nuclear weapon war officer gun ally"
"114","Hillary Clinton_45",1,0.075371267200162,"Hillary Clinton",2016-10-30,"Remarks at the Manor Complex in Wilton Manors, Florida","UCSB","help life nuclear weapon war officer gun ally"
"115","Hillary Clinton_46",1,0.664051040167973,"Hillary Clinton",2016-10-31,"Remarks at Smale Riverfront Park in Cincinnati, Ohio","UCSB","help life nuclear weapon war officer gun ally"
"116","Hillary Clinton_47",1,0.769582784464945,"Hillary Clinton",2016-10-31,"Remarks at the Kent State Student Recreation Center in Kent, Ohio","UCSB","help life nuclear weapon war officer gun ally"
"117","Hillary Clinton_48",1,8.6934126148016e-05,"Hillary Clinton",2016-11-03,"Remarks at Pasco-Hernando State College East Campus in Dade City, Florida","UCSB","help life nuclear weapon war officer gun ally"
"118","Hillary Clinton_49",1,0.0529462770677325,"Hillary Clinton",2016-11-03,"Remarks at Coastal Credit Union Music Park in Raleigh, North Carolina","UCSB","help life nuclear weapon war officer gun ally"
"119","Hillary Clinton_50",1,0.0359228882931523,"Hillary Clinton",2016-11-03,"Remarks at Pitt Community College in Winterville, North Carolina","UCSB","help life nuclear weapon war officer gun ally"
"120","Hillary Clinton_51",1,8.06710035424515e-05,"Hillary Clinton",2016-11-04,"Remarks at Eastern Market in Detroit, Michigan","UCSB","help life nuclear weapon war officer gun ally"
"121","Hillary Clinton_52",1,7.82547929610846e-05,"Hillary Clinton",2016-11-07,"Remarks at Grand Valley State University in Grand Rapids, Michigan","UCSB","help life nuclear weapon war officer gun ally"
"122","Hillary Clinton_53",1,0.000193556412768658,"Hillary Clinton",2016-11-07,"Remarks at North Carolina State University in Raleigh","UCSB","help life nuclear weapon war officer gun ally"
"123","Hillary Clinton_54",1,0.000109122864333109,"Hillary Clinton",2016-11-07,"Remarks at the University of Pittsburgh","UCSB","help life nuclear weapon war officer gun ally"
"124","Donald Trump_141",2,0.0133866039958087,"Donald Trump",2016-09-06,"Donald Trump Republican presidential candidate delivers remarks at a campaign event","The Grammar Lab","help pay start child hard family college"
"125","Donald Trump_142",2,0.0105656926439295,"Donald Trump",2016-09-06,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Greenville North Carolina 24","The Grammar Lab","help pay start child hard family college"
"126","Donald Trump_143",2,0.000346127172498936,"Donald Trump",2016-09-07,"Donald Trump Republican presidential candidate delivers remarks at the New York state Conservative Party presidential convention","The Grammar Lab","help pay start child hard family college"
"127","Donald Trump_144",2,0.0294045999132755,"Donald Trump",2016-09-09,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Pensacola Florida SD24","The Grammar Lab","help pay start child hard family college"
"128","Donald Trump_145",2,0.0124077454571154,"Donald Trump",2016-09-12,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Asheville North Carolina SD24","The Grammar Lab","help pay start child hard family college"
"129","Donald Trump_146",2,0.000138012244247046,"Donald Trump",2016-09-16,"Donald Trump GOP Presidential Candidate Remarks at Campaign Event in Miami Florida","The Grammar Lab","help pay start child hard family college"
"130","Donald Trump_147",2,0.0288570593670205,"Donald Trump",2016-09-29,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Bedford New Hampshire","The Grammar Lab","help pay start child hard family college"
"131","Donald Trump_148",2,0.000128650416894004,"Donald Trump",2016-09-30,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Novi Michigan SD24","The Grammar Lab","help pay start child hard family college"
"132","Donald Trump_149",2,0.00775810009547295,"Donald Trump",2016-10-03,"Donald Trump Republican Presidential Candidate delivers remarks at Retired American Warriors PAC","The Grammar Lab","help pay start child hard family college"
"133","Donald Trump_150",2,0.0290770691588204,"Donald Trump",2016-10-05,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Henderson Nevada SD24","The Grammar Lab","help pay start child hard family college"
"134","Donald Trump_151",2,0.0485677428717134,"Donald Trump",2016-10-06,"Donald Trump Republican presidential candidate holds a townhall meeting Sandown New Hampshire","The Grammar Lab","help pay start child hard family college"
"135","Donald Trump_152",2,0.00331812791045918,"Donald Trump",2016-10-10,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Ambridge Pennsylvania SD24","The Grammar Lab","help pay start child hard family college"
"136","Donald Trump_153",2,0.00220688715449367,"Donald Trump",2016-10-10,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in WilkesBarre Pennsylvania 24","The Grammar Lab","help pay start child hard family college"
"137","Donald Trump_154",2,0.00067468738790798,"Donald Trump",2016-10-11,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Panama City Florida 24","The Grammar Lab","help pay start child hard family college"
