"","author_speech_id","author","date","title","source"
"111","Hillary Clinton_119","Hillary Clinton",2016-11-06,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Manchester New Hampshire SD24","The Grammar Lab"
"112","Hillary Clinton_120","Hillary Clinton",2016-11-06,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Cleveland Ohio SD24","The Grammar Lab"
"113","Hillary Clinton_121","Hillary Clinton",2016-11-07,"Hillary Clinton Democratic presidential candidate delivers remarks at a campaign event Oakland Pennsylvania","The Grammar Lab"
"114","Hillary Clinton_122","Hillary Clinton",2016-11-07,"Hillary Clinton Democratic presidential candidate delivers remarks at a campaign event Grand Rapids Michigan","The Grammar Lab"
"115","Hillary Clinton_123","Hillary Clinton",2016-11-07,"Hillary Clinton Democratic Presidential Candidate delivers remarks at a campaign event in Philadelphia Pennsylvania SD24","The Grammar Lab"
"116","Donald Trump_126","Donald Trump",2016-07-22,"Donald Trump Republican presidential candidate delivers remarks to volunteers at the Republican National Convention","The Grammar Lab"
"117","Donald Trump_127","Donald Trump",2016-07-25,"Donald Trump Republican presidential candidate and Gov Mike Pence Republican vice presidential candidate hold a townhall meeting","The Grammar Lab"
"118","Donald Trump_128","Donald Trump",2016-07-26,"Donald Trump Republican Presidential Candidate delivers remarks at the VFW Convention","The Grammar Lab"
"119","Donald Trump_129","Donald Trump",2016-07-27,"Donald Trump Republican presidential candidate delivers remarks at a campaign event","The Grammar Lab"
"120","Donald Trump_130","Donald Trump",2016-08-01,"Donald Trump Republican presidential candidate deliver remarks at a campaign event","The Grammar Lab"
"121","Donald Trump_131","Donald Trump",2016-08-02,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Ashburn Virginia","The Grammar Lab"
"122","Donald Trump_132","Donald Trump",2016-08-04,"Donald Trump Republican Presidential Candidate holds a campaign rally in Maine","The Grammar Lab"
"123","Donald Trump_133","Donald Trump",2016-08-10,"Donald Trump Republican Presidential Candidate delivers remarks in Abingdon Virginia","The Grammar Lab"
"124","Donald Trump_134","Donald Trump",2016-08-12,"Donald Trump Republican Presidential Candidate holds a campaign rally in Altoona PA 24","The Grammar Lab"
"125","Donald Trump_135","Donald Trump",2016-08-17,"Donald Trump Republican Presidential Candidate participates in a Fox News townhall event","The Grammar Lab"
"126","Donald Trump_136","Donald Trump",2016-08-22,"Donald Trump Republican Presidential Candidate Delivers Remarks At A Campaign Event","The Grammar Lab"
"127","Donald Trump_137","Donald Trump",2016-08-23,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Austin Texas","The Grammar Lab"
"128","Donald Trump_138","Donald Trump",2016-08-24,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Tampa Florida SD","The Grammar Lab"
"129","Donald Trump_139","Donald Trump",2016-08-25,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Manchester New Hampshire SD","The Grammar Lab"
"130","Donald Trump_140","Donald Trump",2016-08-30,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Everett Washington 24","The Grammar Lab"
"131","Donald Trump_141","Donald Trump",2016-09-06,"Donald Trump Republican presidential candidate delivers remarks at a campaign event","The Grammar Lab"
"132","Donald Trump_142","Donald Trump",2016-09-06,"Donald Trump Republican Presidential Candidate delivers remarks at a campaign event in Greenville North Carolina 24","The Grammar Lab"
